location,time,temp,wind,rain,humid
Argentina,01-10-2012,23.0000,NaN,0.0000,NaN
Australia,01-04-2012,19.6123,0.9244,1.4042,0.6057
Australia,01-05-2012,13.6726,1.0485,1.4695,0.8248
Australia,01-06-2012,11.3498,1.4243,3.7833,0.8855
Australia,01-07-2012,10.6123,1.4393,0.8460,0.5091
Australia,01-08-2012,13.1159,1.7292,0.0782,0.6460
Australia,01-09-2012,15.4473,1.6007,0.1900,0.5496
Australia,01-10-2012,18.5111,1.3078,0.0472,0.2968
Australia,01-12-2012,23.3834,1.6355,1.4983,0.2869
Australia,01-01-2013,25.3966,1.7039,3.5218,0.2959
Australia,01-02-2013,23.5055,1.2477,3.4145,0.3112
Australia,01-03-2013,22.2480,1.0903,2.4589,0.4047
Australia,01-04-2013,19.3821,0.6436,9.0000,0.4222
Austria,01-04-2012,8.5000,NaN,0.0000,NaN
Austria,01-05-2012,16.2857,NaN,0.0000,NaN
Austria,01-06-2012,21.3333,NaN,0.0000,NaN
Austria,01-07-2012,24.2000,NaN,0.0000,NaN
Austria,01-08-2012,21.0000,NaN,0.0000,NaN
Austria,01-09-2012,15.6154,NaN,1.6154,NaN
Austria,01-10-2012,13.0000,NaN,0.0000,NaN
Bahamas,01-04-2012,22.3964,1.6550,0.0000,0.6121
Bahamas,01-05-2012,28.7333,0.3633,0.0000,0.7900
Bahamas,01-06-2012,27.3917,1.4571,0.0158,0.7790
Bahamas,01-08-2012,28.4242,2.5618,3.0176,0.8097
Bahamas,01-09-2012,27.3124,0.8071,1.6499,0.8512
Bahamas,01-10-2012,27.0364,0.6268,7.1577,0.8859
Belgium,01-09-2012,9.0000,NaN,0.0000,NaN
Belgium,01-11-2012,7.8250,1.2375,18.9750,0.7875
Belgium,01-03-2013,3.9180,1.1371,0.9849,0.7973
Belize,01-03-2013,26.4739,1.5979,0.0000,0.7991
Belize,01-04-2013,29.2452,2.3551,0.0000,0.8384
Brazil,01-04-2012,23.3589,3.4538,0.0123,0.6439
Brazil,01-05-2012,22.5178,3.7527,0.6678,0.5545
Brazil,01-06-2012,21.8711,3.6502,3.2436,0.6329
Brazil,01-07-2012,23.8519,4.1421,0.4257,0.4086
Brazil,01-08-2012,25.9905,4.1101,0.1143,0.3198
Brazil,01-09-2012,27.0240,4.5104,1.2161,0.3625
Brazil,01-10-2012,28.9013,3.8927,0.8701,0.3237
Brazil,01-11-2012,26.8222,3.3774,0.9000,0.7541
Brazil,01-12-2012,26.4706,2.9216,0.9265,0.7246
Brazil,01-01-2013,25.6667,2.9033,2.4902,0.7588
Brazil,01-02-2013,25.1471,2.6556,0.0000,0.8225
Brazil,01-03-2013,25.8571,2.2273,2.7679,0.7792
Brazil,01-04-2013,25.6667,3.8900,16.0000,0.8900
Bulgaria,01-10-2012,5.0000,NaN,0.0000,NaN
Canada,01-04-2012,7.4314,1.2388,0.3921,0.5533
Canada,01-05-2012,14.3902,1.0783,0.5708,0.5820
Canada,01-06-2012,17.8251,1.1555,1.2487,0.5789
Canada,01-07-2012,22.7583,1.1808,0.5879,0.4452
Canada,01-08-2012,20.7659,1.1088,1.3657,0.5334
Canada,01-09-2012,16.6682,0.8989,15.3709,0.6009
Canada,01-10-2012,12.5146,0.8807,0.1110,0.6238
Canada,01-11-2012,7.5046,0.0914,2.6802,0.8520
Canada,01-12-2012,4.0958,0.3241,2.5216,0.8873
Canada,01-01-2013,3.8859,0.5252,0.8311,0.7890
Canada,01-02-2013,4.2110,0.7814,0.3762,0.7927
Canada,01-03-2013,6.8260,0.7843,0.4138,0.7277
Canada,01-04-2013,10.5771,1.0755,0.0863,0.6995
Chad,01-01-2013,8.3300,0.0000,0.0000,NaN
China,01-09-2012,28.0000,NaN,0.0000,NaN
China,01-01-2013,38.6000,NaN,0.0000,NaN
China,01-03-2013,NaN,NaN,0.0000,NaN
Colombia,01-04-2012,19.9615,1.3615,2.1154,0.8725
Colombia,01-05-2012,20.5652,1.3371,1.8696,0.8850
Colombia,01-06-2012,21.4375,2.0567,0.0000,0.5800
Colombia,01-07-2012,21.4375,1.1538,0.0000,0.7500
Colombia,01-08-2012,23.4667,1.7227,4.1333,0.7550
Colombia,01-09-2012,22.4806,1.7720,1.9767,0.5783
Colombia,01-10-2012,22.8085,1.5878,3.3617,0.7581
Colombia,01-11-2012,21.3711,1.6456,1.8763,0.8047
Colombia,01-12-2012,20.3375,1.3862,1.9750,0.8383
Colombia,01-01-2013,22.0781,1.7694,0.6462,0.6985
Colombia,01-02-2013,21.5246,1.4142,1.7377,0.8083
Colombia,01-03-2013,22.0820,1.5130,2.4098,0.8308
Colombia,01-04-2013,23.2500,1.5300,7.2500,0.5800
Egypt,01-12-2012,11.0000,3.0600,0.0000,NaN
Finland,01-04-2012,4.8411,1.9071,0.8736,0.7674
Finland,01-05-2012,10.7648,2.1668,1.0537,0.6291
Finland,01-06-2012,13.3781,2.0420,1.2072,0.7225
Finland,01-07-2012,17.6347,1.9365,0.8277,0.7518
Finland,01-08-2012,14.5652,1.1086,1.1608,0.8190
Finland,01-09-2012,11.0166,1.7491,1.7683,0.8764
Finland,01-10-2012,8.1741,1.5490,1.8151,0.8917
Finland,01-11-2012,4.2708,1.7249,1.3222,0.8849
Finland,01-12-2012,0.9574,1.4165,0.2019,0.8461
Finland,01-01-2013,0.5070,1.1258,0.0000,0.8230
Finland,01-02-2013,1.1486,0.9827,0.0098,0.8184
Finland,01-03-2013,1.5216,1.3252,0.0605,0.6336
Finland,01-04-2013,2.8294,0.8284,0.0139,0.5875
France,01-07-2012,19.3500,1.7840,0.0000,0.4820
France,01-08-2012,NaN,NaN,50800.0000,NaN
France,01-10-2012,8.8375,0.3629,0.0000,0.7406
France,01-11-2012,8.7599,1.0728,0.2417,0.8562
France,01-12-2012,7.8655,1.6590,0.1041,0.8306
France,01-01-2013,5.1501,0.8684,0.0365,0.8750
France,01-02-2013,5.5137,1.6937,0.0686,0.7806
France,01-03-2013,6.1390,1.1575,0.2331,0.7337
France,01-04-2013,5.8975,1.3436,0.0000,0.5746
Georgia,01-04-2012,20.7926,0.3509,2.2408,0.8406
Georgia,01-05-2012,24.3858,0.3827,0.5120,0.7667
Georgia,01-06-2012,24.5959,0.8158,2.2269,0.8235
Georgia,01-07-2012,26.0437,0.2844,1.6894,0.8618
Georgia,01-08-2012,25.7090,0.4133,3.3470,0.8803
Georgia,01-09-2012,23.8194,0.3703,1.6369,0.7992
Georgia,01-10-2012,24.5400,0.8080,1.9170,0.9530
Georgia,01-12-2012,9.0287,0.7988,3.7212,0.8653
Georgia,01-01-2013,16.1993,1.0383,0.3197,0.8707
Georgia,01-02-2013,12.9575,0.7748,2.9828,0.8665
Georgia,01-03-2013,20.9333,0.4667,18.4567,0.9900
Georgia,01-04-2013,20.6769,0.3608,0.0000,0.6069
Germany,01-04-2012,9.0000,4.2472,0.7778,0.9600
Germany,01-05-2012,17.3750,3.3310,3.7300,0.5417
Germany,01-06-2012,18.3111,3.0122,5.1667,0.6500
Germany,01-07-2012,20.5263,3.0789,1.1263,0.8300
Germany,01-08-2012,21.5625,3.6060,0.0000,0.5300
Germany,01-09-2012,15.8553,3.0522,0.4854,0.7392
Germany,01-10-2012,13.2885,3.5877,1.3115,0.6600
Germany,01-12-2012,9.5000,NaN,0.0000,NaN
Germany,01-01-2013,2.5443,3.0149,6.0932,0.8552
Germany,01-02-2013,6.3380,3.7712,2.6306,0.7671
Germany,01-03-2013,3.6247,4.8000,2.0867,0.6838
Germany,01-04-2013,4.8804,4.0258,0.0000,0.5427
Greece,01-04-2012,19.1585,1.7848,1.2959,0.7005
Greece,01-05-2012,22.6600,1.6247,1.3000,0.6913
Greece,01-06-2012,30.8812,1.6179,0.0000,0.5551
Greece,01-07-2012,33.7298,2.0181,0.0060,0.5106
Greece,01-08-2012,29.7778,1.0471,0.0013,0.3902
Greece,01-09-2012,25.2410,0.4547,0.5358,0.3400
Greece,01-10-2012,24.1370,0.3478,0.0070,0.2958
Hungary,01-10-2012,10.0000,NaN,0.0000,NaN
India,01-04-2012,10.0630,0.0000,1.3636,0.4771
India,01-05-2012,18.6857,NaN,4.8571,NaN
India,01-06-2012,20.0385,NaN,0.0000,NaN
India,01-07-2012,23.2077,NaN,0.0000,NaN
India,01-08-2012,21.0585,0.8515,7.5859,0.7547
India,01-09-2012,19.3138,0.5345,1.0098,0.7660
India,01-10-2012,11.1900,NaN,4.0952,NaN
India,01-11-2012,4.6283,NaN,0.0000,NaN
India,01-12-2012,9.3954,0.7412,0.6849,0.8550
India,01-01-2013,4.1120,2.1115,0.0000,0.7154
India,01-02-2013,2.2500,0.7364,0.0147,0.7936
India,01-03-2013,4.8784,1.4913,1.1343,0.7430
India,01-04-2013,6.2719,1.7408,0.0000,0.5547
Indonesia,01-08-2012,25.0000,NaN,0.0000,NaN
Indonesia,01-09-2012,32.0000,3.0600,0.0000,NaN
Indonesia,01-12-2012,32.0000,NaN,0.0000,NaN
Indonesia,01-01-2013,28.0000,11.6700,0.0000,NaN
Indonesia,01-03-2013,29.5000,0.0000,0.0000,NaN
Ireland,01-04-2012,8.3143,5.0900,4.3286,0.8367
Ireland,01-05-2012,8.9389,2.8438,0.9778,0.8178
Ireland,01-06-2012,13.4272,3.5219,1.9611,0.8023
Ireland,01-07-2012,14.6711,3.4818,1.2277,0.7753
Ireland,01-08-2012,16.2587,3.5272,1.2192,0.7728
Ireland,01-09-2012,13.1889,3.3344,1.8251,0.7726
Ireland,01-10-2012,9.8102,3.1915,1.6794,0.7794
Ireland,01-11-2012,7.1115,3.1133,3.2975,0.8652
Ireland,01-12-2012,7.1781,4.1105,1.0871,0.8452
Ireland,01-01-2013,5.8484,3.3630,0.7166,0.8416
Ireland,01-02-2013,6.5605,3.6209,0.5376,0.8066
Ireland,01-03-2013,5.2651,2.9294,0.5103,0.7630
Ireland,01-04-2013,4.6405,4.2211,0.0562,0.5906
Israel,01-09-2012,11.0000,NaN,0.0000,NaN
Italy,01-04-2012,12.6889,1.6700,53.6222,NaN
Italy,01-05-2012,19.2000,1.9450,5.1250,NaN
Italy,01-06-2012,25.2889,1.4775,0.0000,NaN
Italy,01-07-2012,25.8167,2.7800,0.0000,NaN
Italy,01-08-2012,24.3800,NaN,0.0000,NaN
Italy,01-09-2012,19.4560,1.7450,16.7680,NaN
Italy,01-10-2012,18.3111,NaN,2.4444,NaN
Japan,01-04-2012,14.0500,5.7029,0.0000,0.4233
Japan,01-05-2012,18.5455,5.6255,0.0000,0.6471
Japan,01-06-2012,20.1579,3.9179,0.0000,0.7718
Japan,01-07-2012,24.3125,4.6585,0.0000,NaN
Japan,01-08-2012,28.6471,4.4450,0.0000,0.6733
Japan,01-09-2012,26.2717,5.8307,0.0000,0.7227
Japan,01-10-2012,19.1690,5.2943,0.0000,0.6995
Japan,01-11-2012,13.4154,5.0619,0.0000,0.5255
Japan,01-12-2012,8.1308,4.6701,0.0000,0.5505
Japan,01-01-2013,6.6567,5.6616,0.0000,0.4685
Japan,01-02-2013,5.7500,5.2223,0.0000,0.4056
Japan,01-03-2013,11.2857,5.0526,0.0000,0.6139
Japan,01-04-2013,11.6667,4.7250,0.0000,0.9400
Jordan,01-08-2012,24.8288,2.2652,0.0000,0.3378
Jordan,01-09-2012,24.1369,1.8631,0.0092,0.4348
Jordan,01-10-2012,21.4158,1.8948,0.0105,0.5911
Kenya,01-02-2013,30.0000,9.4400,0.0000,NaN
Kuwait,01-04-2012,26.8336,2.7467,0.0515,0.4649
Kuwait,01-05-2012,33.2358,2.6247,0.0047,0.4090
Kuwait,01-06-2012,36.9339,3.7270,0.0000,0.3080
Kuwait,01-07-2012,39.2947,3.2065,0.0000,0.3183
Kuwait,01-08-2012,38.1307,3.2853,0.0000,0.3880
Kuwait,01-09-2012,35.7914,2.7141,0.0000,0.3627
Kuwait,01-10-2012,33.4370,1.4090,0.0000,0.4093
Kuwait,01-11-2012,20.8110,12.2781,0.0284,0.7660
Kuwait,01-12-2012,18.7281,2.6052,0.0263,0.7168
Kuwait,01-01-2013,16.3577,2.9965,0.0000,0.7032
Kuwait,01-02-2013,18.9429,2.5294,0.0000,0.6509
Kuwait,01-03-2013,23.8032,3.2235,0.0000,0.5306
Kuwait,01-04-2013,28.9657,2.4956,0.0000,0.4347
Lebanon,01-04-2012,9.2746,1.3680,2.0000,0.7050
Lebanon,01-05-2012,20.4138,0.9205,0.0000,0.7950
Lebanon,01-06-2012,20.6833,1.5000,0.0000,0.3400
Lebanon,01-07-2012,23.7542,1.1864,0.0000,0.6900
Lebanon,01-08-2012,21.9344,0.8274,0.0000,0.9467
Lebanon,01-09-2012,19.0610,0.9797,2.4259,0.7388
Lebanon,01-10-2012,10.1250,0.7875,14.0000,0.9300
Malawi,01-03-2013,23.0877,NaN,2.2577,0.7926
Malawi,01-04-2013,24.1812,NaN,0.4871,0.7568
Malaysia,01-04-2012,24.0000,NaN,0.0000,NaN
Malaysia,01-05-2012,12.0000,NaN,0.0000,NaN
Malaysia,01-07-2012,37.5000,NaN,0.0000,NaN
Malaysia,01-10-2012,38.3333,NaN,0.0000,NaN
Malaysia,01-11-2012,0.0000,NaN,0.0000,NaN
Malaysia,01-12-2012,16.0000,NaN,0.0000,NaN
Malaysia,01-01-2013,30.5500,6.5000,62.2000,NaN
Malaysia,01-02-2013,36.6667,NaN,0.0000,NaN
Malaysia,01-03-2013,18.4433,NaN,0.0000,0.2000
Maldives,01-09-2012,29.0000,NaN,0.0000,0.7875
Maldives,01-11-2012,30.0000,NaN,0.0000,0.7900
Mexico,01-10-2012,32.2000,NaN,0.0000,NaN
Mexico,01-02-2013,22.0000,NaN,0.0000,NaN
Mexico,01-03-2013,NaN,NaN,0.0000,NaN
Netherlands,01-04-2012,9.4200,2.2102,1.0008,0.7556
Netherlands,01-05-2012,15.2325,1.7562,1.2277,0.7225
Netherlands,01-06-2012,16.0435,1.7831,1.2308,0.7291
Netherlands,01-07-2012,18.4508,1.5762,1.6352,0.7391
Netherlands,01-08-2012,19.0907,0.9611,1.2024,0.7892
Netherlands,01-09-2012,15.4640,0.9082,0.9712,0.8374
Netherlands,01-10-2012,11.2355,1.0976,2.2946,0.8717
Netherlands,01-11-2012,7.0892,1.2721,0.5187,0.8949
Netherlands,01-12-2012,5.6180,1.6496,0.9540,0.8936
Netherlands,01-01-2013,6.3151,1.2162,0.6276,0.8464
Netherlands,01-02-2013,3.5557,1.0487,0.5121,0.8692
Netherlands,01-03-2013,4.6885,1.2075,0.5205,0.7258
Netherlands,01-04-2013,4.1500,1.2180,0.0753,0.5874
New Zealand,01-04-2012,15.4580,0.6585,0.2329,0.7866
New Zealand,01-05-2012,13.7903,1.0440,1.1696,0.5403
New Zealand,01-06-2012,10.8320,0.6094,0.5380,0.5348
New Zealand,01-07-2012,9.9053,0.9984,0.9425,0.6051
New Zealand,01-08-2012,13.3513,1.5449,6.1674,0.6974
New Zealand,01-09-2012,13.1350,1.5652,7.3743,0.6586
New Zealand,01-10-2012,13.7358,1.7429,5.0751,0.7278
New Zealand,01-11-2012,15.3307,1.4237,0.4960,0.6655
New Zealand,01-12-2012,18.4435,0.9571,1.7664,0.8291
New Zealand,01-01-2013,18.6710,1.2134,0.0286,0.7127
New Zealand,01-02-2013,18.9646,0.8794,0.2900,0.7250
New Zealand,01-03-2013,17.3780,0.6901,0.3012,0.7820
New Zealand,01-04-2013,15.8250,0.5092,0.0519,0.7696
Nigeria,01-04-2012,33.6296,2.8672,1.2963,0.3750
Nigeria,01-05-2012,32.5600,2.7533,0.0000,0.3100
Nigeria,01-06-2012,35.0000,3.4129,0.0000,NaN
Nigeria,01-07-2012,28.7778,2.7478,2.8889,0.7900
Nigeria,01-08-2012,27.5714,2.2454,0.0000,0.6250
Nigeria,01-09-2012,28.7831,1.8734,0.3614,0.5838
Nigeria,01-10-2012,31.3148,1.9769,0.0000,0.1833
Nigeria,01-11-2012,29.4308,2.0111,0.0000,0.1267
Nigeria,01-12-2012,26.0682,2.3239,0.0000,0.9400
Nigeria,01-01-2013,27.8710,2.7332,0.0000,NaN
Nigeria,01-02-2013,27.5652,2.6822,0.0000,0.2200
Nigeria,01-03-2013,32.8913,2.7796,0.0000,0.4467
Nigeria,01-04-2013,37.5000,3.6100,0.0000,NaN
Norway,01-05-2012,27.2000,NaN,0.0000,NaN
Norway,01-09-2012,10.4500,0.4415,2.4429,0.5525
Norway,01-10-2012,7.1500,0.6500,0.0000,NaN
Norway,01-02-2013,NaN,1.2500,0.0000,NaN
Oman,01-02-2013,25.0000,0.5600,0.0000,NaN
Pakistan,01-09-2012,24.0000,2.2200,0.0000,NaN
Palestine,01-07-2012,33.1000,0.3200,0.0000,0.4200
Panama,01-01-2013,NaN,NaN,0.0000,NaN
Philippines,01-04-2012,36.1000,NaN,0.0000,NaN
Philippines,01-03-2013,29.5000,NaN,0.0000,NaN
Poland,01-09-2012,14.6577,0.4585,0.0000,0.6392
Poland,01-10-2012,11.0270,0.2622,2.0054,0.7987
Poland,01-11-2012,8.1120,0.4395,1.2402,0.7999
Poland,01-02-2013,NaN,NaN,0.0000,NaN
Poland,01-03-2013,4.3320,0.4819,0.2092,0.5585
Poland,01-04-2013,1.9318,0.3030,1.2978,0.7446
Portugal,01-04-2012,15.5183,0.4825,0.0476,0.7222
Portugal,01-05-2012,16.7154,0.6274,0.3490,0.8387
Portugal,01-08-2012,29.7000,0.3857,0.0000,0.4529
Portugal,01-09-2012,24.1582,0.2404,0.0082,0.6149
Portugal,01-10-2012,22.4211,0.3106,0.0000,0.7034
Portugal,01-11-2012,14.2540,0.5590,0.1286,0.8249
Portugal,01-12-2012,13.3460,0.1448,0.0759,0.9360
Portugal,01-01-2013,13.3974,0.3000,0.0368,0.8873
Portugal,01-02-2013,13.0658,0.2566,0.0026,0.7836
Portugal,01-03-2013,14.3297,0.5816,0.2844,0.8563
Portugal,01-04-2013,15.5000,0.7875,0.4500,0.9900
Qatar,01-01-2013,31.0000,NaN,0.0000,NaN
Russia,01-07-2012,22.0000,4.4400,0.0000,NaN
Russia,01-11-2012,12.0000,NaN,0.0000,NaN
Russia,01-12-2012,NaN,NaN,0.0000,NaN
Russia,01-03-2013,28.0000,NaN,0.0000,NaN
Russia,01-04-2013,0.0000,7.5000,0.0000,0.9500
San Marino,01-04-2012,11.6361,2.4564,1.2798,0.6982
San Marino,01-05-2012,15.9451,1.4635,0.9615,0.6473
San Marino,01-06-2012,22.9310,2.2385,0.1188,0.5348
San Marino,01-07-2012,25.0312,2.0271,0.5074,0.5020
San Marino,01-08-2012,25.5734,1.7602,0.1996,0.4627
San Marino,01-09-2012,18.4604,1.8297,3.4950,0.7700
San Marino,01-10-2012,14.8913,1.3897,0.3973,0.7922
San Marino,01-11-2012,10.1796,2.2372,3.0349,0.8275
San Marino,01-12-2012,5.5767,1.8635,0.8555,0.7298
San Marino,01-01-2013,5.6105,1.7754,0.7982,0.7998
San Marino,01-02-2013,4.0433,1.7697,0.4234,0.8087
San Marino,01-03-2013,6.9244,2.3916,1.4631,0.7685
San Marino,01-04-2013,6.6819,1.6564,3.0722,0.9069
Saudi Arabia,01-03-2013,4.0000,NaN,0.0000,NaN
Singapore,01-10-2012,39.5000,NaN,0.0000,NaN
Singapore,01-11-2012,39.2000,NaN,0.0000,NaN
Singapore,01-12-2012,2.0000,NaN,0.0000,NaN
Singapore,01-01-2013,26.0000,NaN,0.0000,NaN
South Africa,01-04-2012,15.6733,0.3300,0.9133,0.5593
South Africa,01-05-2012,17.0070,0.0756,1.2233,0.6798
South Africa,01-06-2012,10.3923,0.4047,12.3718,0.5847
South Africa,01-07-2012,8.9333,0.0000,0.0000,0.5000
South Africa,01-08-2012,12.5417,1.4429,27.8375,0.4929
South Africa,01-09-2012,16.8264,1.2809,12.0858,0.7480
South Africa,01-10-2012,20.6474,1.5641,0.1895,0.8351
South Africa,01-11-2012,26.0336,0.0000,0.3854,NaN
South Africa,01-12-2012,25.5900,0.0045,2.2858,0.5667
South Africa,01-01-2013,27.2569,0.0017,0.7357,0.4278
South Africa,01-02-2013,28.5874,0.0107,0.0731,0.6938
South Africa,01-03-2013,25.4993,0.1460,0.1754,0.7621
South Africa,01-04-2013,22.9755,0.0782,1.0952,0.6823
Spain,01-04-2012,15.3750,3.3656,3.1875,0.4994
Spain,01-05-2012,23.8500,0.8450,0.0188,0.2950
Spain,01-06-2012,28.5813,5.1000,0.0000,0.1200
Spain,01-07-2012,31.7898,1.8390,0.0429,0.2445
Spain,01-08-2012,30.3000,0.5840,0.0000,0.4010
Spain,01-09-2012,25.1905,1.5000,0.1905,0.7650
Spain,01-10-2012,21.0206,1.0800,0.8118,0.6300
Spain,01-11-2012,17.6263,NaN,1.1368,NaN
Spain,01-12-2012,16.2692,NaN,0.0000,NaN
Spain,01-01-2013,14.5979,NaN,0.0688,NaN
Spain,01-02-2013,15.2833,NaN,0.0000,NaN
Spain,01-03-2013,18.5524,NaN,0.0643,NaN
Spain,01-04-2013,21.2500,NaN,0.3000,NaN
Sri Lanka,01-04-2012,26.0000,1.3900,0.0000,NaN
Sweden,01-04-2012,6.5843,1.1711,0.5326,0.7619
Sweden,01-05-2012,13.0840,1.0355,0.2539,0.6538
Sweden,01-06-2012,14.5549,0.8590,2.3416,0.7913
Sweden,01-07-2012,19.2506,0.7817,1.0837,0.7687
Sweden,01-08-2012,17.9287,0.6315,0.9312,0.8331
Sweden,01-09-2012,13.5571,1.0230,1.2743,0.8670
Sweden,01-10-2012,10.7884,1.0812,0.6551,0.9133
Sweden,01-11-2012,4.0000,NaN,0.0000,NaN
Sweden,01-03-2013,4.8643,1.0212,0.0088,0.5718
Sweden,01-04-2013,9.7000,0.7750,0.0000,0.4525
Switzerland,01-04-2012,9.0000,2.7800,9.0000,NaN
Switzerland,01-05-2012,21.3000,NaN,0.0000,NaN
Switzerland,01-07-2012,30.0000,NaN,0.0000,NaN
Thailand,01-03-2013,36.0000,NaN,0.0000,NaN
Turkey,01-05-2012,24.0000,1.9400,0.0000,NaN
Turkey,01-06-2012,26.6667,3.2400,0.0000,NaN
Turkey,01-10-2012,16.0000,NaN,0.0000,NaN
Turkey,01-01-2013,24.7000,3.1400,24.0000,NaN
Uganda,01-11-2012,19.0000,NaN,0.0000,NaN
United Arab Emirates,01-04-2012,36.2000,NaN,0.0000,NaN
United Kingdom,01-04-2012,8.2114,2.4092,2.0803,0.8140
United Kingdom,01-05-2012,13.0565,1.8254,0.8418,0.7762
United Kingdom,01-06-2012,14.4227,2.0029,2.6117,0.8216
United Kingdom,01-07-2012,16.3354,1.8335,2.5350,0.8134
United Kingdom,01-08-2012,17.6082,1.4645,1.3219,0.8207
United Kingdom,01-09-2012,14.3921,1.6803,0.8890,0.7896
United Kingdom,01-10-2012,10.8191,1.6178,1.9301,0.8752
United Kingdom,01-11-2012,7.3769,1.9431,2.1906,0.9003
United Kingdom,01-12-2012,6.1877,2.4994,3.7568,0.9017
United Kingdom,01-01-2013,4.8886,1.7969,0.8033,0.8860
United Kingdom,01-02-2013,4.5497,2.0990,1.0182,0.8252
United Kingdom,01-03-2013,4.2879,2.2099,19.6267,0.7854
United Kingdom,01-04-2013,4.3967,2.5191,0.0441,0.6351
Venezuela,01-04-2012,26.7500,1.3200,0.0000,0.6867
Venezuela,01-05-2012,28.8333,1.7600,0.0000,NaN
Venezuela,01-06-2012,29.0000,2.8900,0.0000,0.6625
Venezuela,01-07-2012,26.8667,2.0375,0.0000,0.8975
Venezuela,01-08-2012,28.1875,1.8050,0.0000,0.6000
Venezuela,01-09-2012,26.3847,1.4050,0.0000,0.8297
Venezuela,01-10-2012,20.3380,3.6977,0.0000,0.6981
Venezuela,01-11-2012,14.0152,3.9423,0.0000,0.7400
Venezuela,01-12-2012,11.6176,4.1802,0.0000,0.6873
Venezuela,01-01-2013,10.8113,4.2579,0.0000,0.6100
Venezuela,01-02-2013,10.7188,3.5941,0.0000,0.6360
Venezuela,01-03-2013,12.6250,4.6634,0.0000,0.7250
Venezuela,01-04-2013,11.6667,2.0367,0.0000,NaN
